case_id,split
BraTS20_Training_297,train
BraTS20_Training_247,train
BraTS20_Training_179,train
BraTS20_Training_267,train
BraTS20_Training_035,train
BraTS20_Training_344,train
BraTS20_Training_359,train
BraTS20_Training_209,train
BraTS20_Training_322,train
BraTS20_Training_318,train
BraTS20_Training_178,train
BraTS20_Training_092,train
BraTS20_Training_224,train
BraTS20_Training_054,train
BraTS20_Training_290,train
BraTS20_Training_346,train
BraTS20_Training_066,train
BraTS20_Training_107,train
BraTS20_Training_144,train
BraTS20_Training_075,train
BraTS20_Training_299,train
BraTS20_Training_271,train
BraTS20_Training_248,train
BraTS20_Training_337,train
BraTS20_Training_336,train
BraTS20_Training_073,train
BraTS20_Training_011,train
BraTS20_Training_192,train
BraTS20_Training_101,train
BraTS20_Training_104,train
BraTS20_Training_168,train
BraTS20_Training_148,train
BraTS20_Training_086,train
BraTS20_Training_265,train
BraTS20_Training_121,train
BraTS20_Training_350,train
BraTS20_Training_298,train
BraTS20_Training_214,train
BraTS20_Training_163,train
BraTS20_Training_171,train
BraTS20_Training_081,train
BraTS20_Training_329,train
BraTS20_Training_027,train
BraTS20_Training_364,train
BraTS20_Training_208,train
BraTS20_Training_240,train
BraTS20_Training_056,train
BraTS20_Training_272,train
BraTS20_Training_090,train
BraTS20_Training_078,train
BraTS20_Training_067,train
BraTS20_Training_026,train
BraTS20_Training_155,train
BraTS20_Training_341,train
BraTS20_Training_100,train
BraTS20_Training_039,train
BraTS20_Training_231,train
BraTS20_Training_289,train
BraTS20_Training_213,train
BraTS20_Training_159,train
BraTS20_Training_183,train
BraTS20_Training_243,train
BraTS20_Training_338,train
BraTS20_Training_189,train
BraTS20_Training_229,train
BraTS20_Training_097,train
BraTS20_Training_219,train
BraTS20_Training_225,train
BraTS20_Training_095,train
BraTS20_Training_147,train
BraTS20_Training_123,train
BraTS20_Training_038,train
BraTS20_Training_110,train
BraTS20_Training_020,train
BraTS20_Training_089,train
BraTS20_Training_358,train
BraTS20_Training_128,train
BraTS20_Training_295,train
BraTS20_Training_150,train
BraTS20_Training_140,train
BraTS20_Training_327,train
BraTS20_Training_201,train
BraTS20_Training_134,train
BraTS20_Training_211,train
BraTS20_Training_119,train
BraTS20_Training_316,train
BraTS20_Training_343,train
BraTS20_Training_191,train
BraTS20_Training_241,train
BraTS20_Training_330,train
BraTS20_Training_188,train
BraTS20_Training_212,train
BraTS20_Training_012,train
BraTS20_Training_246,train
BraTS20_Training_070,train
BraTS20_Training_325,train
BraTS20_Training_124,train
BraTS20_Training_245,train
BraTS20_Training_262,train
BraTS20_Training_260,train
BraTS20_Training_010,train
BraTS20_Training_226,train
BraTS20_Training_268,train
BraTS20_Training_311,train
BraTS20_Training_324,train
BraTS20_Training_180,train
BraTS20_Training_308,train
BraTS20_Training_276,train
BraTS20_Training_232,train
BraTS20_Training_114,train
BraTS20_Training_145,train
BraTS20_Training_032,train
BraTS20_Training_348,train
BraTS20_Training_198,train
BraTS20_Training_170,train
BraTS20_Training_044,train
BraTS20_Training_157,train
BraTS20_Training_172,train
BraTS20_Training_008,train
BraTS20_Training_367,train
BraTS20_Training_199,train
BraTS20_Training_291,train
BraTS20_Training_160,train
BraTS20_Training_007,train
BraTS20_Training_094,train
BraTS20_Training_131,train
BraTS20_Training_060,train
BraTS20_Training_106,train
BraTS20_Training_321,train
BraTS20_Training_091,train
BraTS20_Training_332,train
BraTS20_Training_166,train
BraTS20_Training_258,train
BraTS20_Training_049,train
BraTS20_Training_105,train
BraTS20_Training_234,train
BraTS20_Training_063,train
BraTS20_Training_181,train
BraTS20_Training_278,train
BraTS20_Training_331,train
BraTS20_Training_174,train
BraTS20_Training_301,train
BraTS20_Training_269,train
BraTS20_Training_061,train
BraTS20_Training_132,train
BraTS20_Training_152,train
BraTS20_Training_085,train
BraTS20_Training_009,train
BraTS20_Training_264,train
BraTS20_Training_176,train
BraTS20_Training_354,train
BraTS20_Training_019,train
BraTS20_Training_002,train
BraTS20_Training_257,train
BraTS20_Training_158,train
BraTS20_Training_059,train
BraTS20_Training_242,train
BraTS20_Training_315,train
BraTS20_Training_006,train
BraTS20_Training_087,train
BraTS20_Training_249,train
BraTS20_Training_368,train
BraTS20_Training_319,train
BraTS20_Training_031,train
BraTS20_Training_116,train
BraTS20_Training_133,train
BraTS20_Training_263,train
BraTS20_Training_207,train
BraTS20_Training_285,train
BraTS20_Training_103,train
BraTS20_Training_345,train
BraTS20_Training_305,train
BraTS20_Training_204,train
BraTS20_Training_055,train
BraTS20_Training_251,train
BraTS20_Training_210,train
BraTS20_Training_202,train
BraTS20_Training_266,train
BraTS20_Training_043,train
BraTS20_Training_366,train
BraTS20_Training_122,train
BraTS20_Training_169,train
BraTS20_Training_326,train
BraTS20_Training_033,train
BraTS20_Training_313,train
BraTS20_Training_018,train
BraTS20_Training_125,train
BraTS20_Training_022,train
BraTS20_Training_021,train
BraTS20_Training_146,train
BraTS20_Training_340,train
BraTS20_Training_015,train
BraTS20_Training_062,train
BraTS20_Training_293,train
BraTS20_Training_093,train
BraTS20_Training_228,train
BraTS20_Training_005,train
BraTS20_Training_292,train
BraTS20_Training_083,train
BraTS20_Training_154,train
BraTS20_Training_223,train
BraTS20_Training_244,train
BraTS20_Training_200,train
BraTS20_Training_361,train
BraTS20_Training_042,train
BraTS20_Training_218,train
BraTS20_Training_096,train
BraTS20_Training_040,train
BraTS20_Training_051,train
BraTS20_Training_156,train
BraTS20_Training_216,train
BraTS20_Training_164,train
BraTS20_Training_077,train
BraTS20_Training_255,train
BraTS20_Training_028,train
BraTS20_Training_130,train
BraTS20_Training_046,train
BraTS20_Training_196,train
BraTS20_Training_129,train
BraTS20_Training_068,train
BraTS20_Training_222,train
BraTS20_Training_238,train
BraTS20_Training_001,train
BraTS20_Training_349,train
BraTS20_Training_254,train
BraTS20_Training_352,train
BraTS20_Training_076,train
BraTS20_Training_284,train
BraTS20_Training_294,train
BraTS20_Training_165,train
BraTS20_Training_197,train
BraTS20_Training_069,train
BraTS20_Training_193,train
BraTS20_Training_279,train
BraTS20_Training_227,train
BraTS20_Training_239,train
BraTS20_Training_030,train
BraTS20_Training_185,train
BraTS20_Training_252,train
BraTS20_Training_003,train
BraTS20_Training_221,train
BraTS20_Training_142,train
BraTS20_Training_065,train
BraTS20_Training_270,train
BraTS20_Training_306,train
BraTS20_Training_250,train
BraTS20_Training_098,train
BraTS20_Training_312,train
BraTS20_Training_282,train
BraTS20_Training_153,train
BraTS20_Training_320,train
BraTS20_Training_335,train
BraTS20_Training_273,train
BraTS20_Training_307,train
BraTS20_Training_161,train
BraTS20_Training_079,train
BraTS20_Training_057,train
BraTS20_Training_025,train
BraTS20_Training_047,train
BraTS20_Training_253,train
BraTS20_Training_261,train
BraTS20_Training_071,train
BraTS20_Training_287,train
BraTS20_Training_314,train
BraTS20_Training_205,train
BraTS20_Training_220,train
BraTS20_Training_135,train
BraTS20_Training_127,train
BraTS20_Training_363,train
BraTS20_Training_323,train
BraTS20_Training_074,train
BraTS20_Training_235,train
BraTS20_Training_203,train
BraTS20_Training_256,train
BraTS20_Training_277,train
BraTS20_Training_281,train
BraTS20_Training_109,train
BraTS20_Training_034,train
BraTS20_Training_138,train
BraTS20_Training_206,train
BraTS20_Training_162,train
BraTS20_Training_356,train
BraTS20_Training_118,train
BraTS20_Training_029,train
BraTS20_Training_167,train
BraTS20_Training_342,train
BraTS20_Training_286,train
BraTS20_Training_139,train
BraTS20_Training_304,train
BraTS20_Training_237,train
BraTS20_Training_300,train
BraTS20_Training_365,train
BraTS20_Training_274,train
BraTS20_Training_088,train
BraTS20_Training_037,val
BraTS20_Training_137,val
BraTS20_Training_108,val
BraTS20_Training_182,val
BraTS20_Training_190,val
BraTS20_Training_084,val
BraTS20_Training_187,val
BraTS20_Training_233,val
BraTS20_Training_334,val
BraTS20_Training_369,val
BraTS20_Training_052,val
BraTS20_Training_351,val
BraTS20_Training_317,val
BraTS20_Training_149,val
BraTS20_Training_117,val
BraTS20_Training_024,val
BraTS20_Training_036,val
BraTS20_Training_099,val
BraTS20_Training_296,val
BraTS20_Training_186,val
BraTS20_Training_151,val
BraTS20_Training_283,val
BraTS20_Training_041,val
BraTS20_Training_194,val
BraTS20_Training_064,val
BraTS20_Training_275,val
BraTS20_Training_236,val
BraTS20_Training_023,val
BraTS20_Training_136,val
BraTS20_Training_310,val
BraTS20_Training_177,val
BraTS20_Training_184,val
BraTS20_Training_050,val
BraTS20_Training_195,val
BraTS20_Training_353,val
BraTS20_Training_362,val
BraTS20_Training_173,val
BraTS20_Training_111,test
BraTS20_Training_080,test
BraTS20_Training_339,test
BraTS20_Training_175,test
BraTS20_Training_357,test
BraTS20_Training_082,test
BraTS20_Training_004,test
BraTS20_Training_143,test
BraTS20_Training_302,test
BraTS20_Training_230,test
BraTS20_Training_113,test
BraTS20_Training_215,test
BraTS20_Training_360,test
BraTS20_Training_333,test
BraTS20_Training_102,test
BraTS20_Training_288,test
BraTS20_Training_014,test
BraTS20_Training_309,test
BraTS20_Training_259,test
BraTS20_Training_120,test
BraTS20_Training_112,test
BraTS20_Training_048,test
BraTS20_Training_016,test
BraTS20_Training_017,test
BraTS20_Training_217,test
BraTS20_Training_303,test
BraTS20_Training_045,test
BraTS20_Training_280,test
BraTS20_Training_347,test
BraTS20_Training_053,test
BraTS20_Training_072,test
BraTS20_Training_115,test
BraTS20_Training_126,test
BraTS20_Training_141,test
BraTS20_Training_013,test
BraTS20_Training_058,test
BraTS20_Training_328,test
