epoch,epochs_total,train_loss,train_meanDice,train_WT,train_TC,train_ET,val_loss,val_meanDice,val_WT,val_TC,val_ET,epoch_time_sec
1,30,0.6952,0.687,0.836,0.619,0.6061,0.4785,0.775,0.8622,0.7132,0.7496,24.5
2,30,0.367,0.7708,0.8793,0.7283,0.7048,0.3859,0.822,0.8961,0.789,0.7808,22.1
3,30,0.3307,0.7868,0.8899,0.7546,0.7158,0.4089,0.8071,0.8695,0.7714,0.7802,22.2
4,30,0.306,0.8005,0.8956,0.7754,0.7304,0.4348,0.7431,0.8811,0.6904,0.6578,22.2
5,30,0.2937,0.8056,0.9005,0.7838,0.7325,0.3472,0.825,0.9066,0.8098,0.7585,22.1
6,30,0.2819,0.8156,0.9059,0.7998,0.7412,0.4229,0.7706,0.8692,0.7271,0.7155,22.3
7,30,0.2704,0.8211,0.9102,0.8058,0.7473,0.3675,0.8064,0.8946,0.7689,0.7558,22.2
8,30,0.2646,0.8256,0.9106,0.8101,0.756,0.3693,0.8248,0.898,0.7845,0.7918,22.1
9,30,0.2601,0.8288,0.9122,0.8152,0.759,0.3521,0.8189,0.9083,0.7874,0.7611,22.1
10,30,0.2544,0.8307,0.9146,0.818,0.7595,0.362,0.7995,0.9033,0.7687,0.7266,22.4
11,30,0.2488,0.8337,0.9149,0.8254,0.7609,0.3653,0.7933,0.9043,0.7463,0.7292,22.2
12,30,0.2463,0.8383,0.9172,0.8296,0.7682,0.3253,0.8449,0.9136,0.8262,0.7949,22.2
13,30,0.2391,0.8429,0.9197,0.8367,0.7722,0.3139,0.8513,0.9173,0.835,0.8016,22.3
14,30,0.2362,0.8441,0.9205,0.8378,0.7739,0.3277,0.8342,0.9133,0.8095,0.78,22.2
15,30,0.2296,0.847,0.9216,0.845,0.7743,0.3211,0.8468,0.9144,0.8281,0.7979,22.5
16,30,0.226,0.8505,0.9234,0.8519,0.7762,0.3467,0.8301,0.9049,0.8048,0.7807,22.1
17,30,0.2275,0.8478,0.9222,0.8476,0.7735,0.3399,0.8178,0.9133,0.7907,0.7494,22.6
18,30,0.2174,0.853,0.9252,0.8533,0.7806,0.3484,0.8211,0.9117,0.7969,0.7548,22.2
19,30,0.2202,0.8534,0.9245,0.8538,0.7819,0.3335,0.8215,0.9132,0.7904,0.7609,22.5
20,30,0.2193,0.8532,0.9245,0.8544,0.7806,0.347,0.816,0.9201,0.7794,0.7484,22.4
21,30,0.2155,0.8563,0.9257,0.8589,0.7844,0.3143,0.839,0.9192,0.8111,0.7867,22.2
22,30,0.2136,0.8552,0.9265,0.8607,0.7782,0.3084,0.8417,0.925,0.8334,0.7666,22.2
23,30,0.2078,0.8594,0.9278,0.8632,0.7871,0.3051,0.8567,0.9266,0.8413,0.8024,22.2
24,30,0.2059,0.8606,0.9298,0.8658,0.7864,0.3139,0.8517,0.923,0.8324,0.7998,22.2
25,30,0.2052,0.8598,0.9276,0.8627,0.7892,0.3249,0.8464,0.9173,0.8282,0.7936,22.1
26,30,0.2044,0.8633,0.9299,0.87,0.79,0.3113,0.8513,0.9258,0.8332,0.7949,23.3
27,30,0.2023,0.8644,0.9309,0.8682,0.794,0.302,0.8543,0.9242,0.8307,0.808,23.5
28,30,0.1983,0.8655,0.9307,0.8736,0.7923,0.333,0.8381,0.9172,0.821,0.7761,23.2
29,30,0.1988,0.8676,0.931,0.8719,0.7999,0.3037,0.8536,0.9242,0.8307,0.8059,23.5
30,30,0.1982,0.8677,0.9317,0.8745,0.7969,0.2961,0.857,0.9291,0.8489,0.7931,23.0
